Nazwa,Kcal,Bialko,Weglowodany,Tluszcz
Woda,0,0,0,0
Pomidor,18,0.9,3.9,0.2
"Oliwa z oliwek",884,0,0,100
"Pieprz czarny",255,11,64.8,3.5
Banan,89,1,22,0.3
Czosnek,149,6.4,33.1,0.5
"Cebula (świeża)",40,1.1,7.6,0.1
"Jabłko (świeży owoc)",57,0.3,13.8,0.2
"Sól biała",0,0,0,0
"Marchew (surowa)",41,0.9,9.6,0.2
Ogórek,15,0.7,3.6,0.1
"Sól morska",0,0,0,0
"Płatki owsiane",389,16.9,66.3,6.9
"Sok z cytryny",22,0.4,6.9,0.2
"Chleb żytni razowy",217,6.7,41.5,1.2
Sałata,13,1.4,2.2,0.2
"Papryka czerwona",28,1.3,6.6,0.5
Rzodkiewka,14,1,4.4,0.2
"Miód pszczeli",319,0.3,79.4,0
"Jogurt naturalny 2% tłuszczu",60,4.3,5.2,2
Ziemniaki,77,1.9,18.5,0.1
"Ogórek kiszony",11,0.3,2.3,0.2
"Bulion warzywny",6,0.2,1,0.1
Olej,884,0,0,100
"Kurczak (pierś bez skóry)",121,21.8,0,3.7
Cynamon,245,3.9,80,1
"Mleko 2% tłuszczu",50,3.3,4.8,2
"Seler (korzeń)",21,1.6,7.7,0.3
"Bułka grahamka",270,8.5,56.8,1.7
"Pietruszka korzeń",83,2.6,17.1,0.5
Szczypiorek,27,1,5.7,0.5
"Masło ekstra",717,0.9,0.1,81.1
Awokado,160,2,8.5,15
Cukier,386,0,100,0
"Szpinak świeży",23,2.9,3.6,0.4
Kiwi,61,1.1,14.7,0.5
"Jajo kurze (całe)",143,12.6,0,9.5
"Pomidor koktajlowy",18,1,4,0.2
Pomarańcza,53,0.9,15.5,0.3
"Pietruszka liście ",36,3,6.3,0.8
"Jajko ugotowane na twardo",155,12.6,1.1,10.6
"Ziemniaki gotowane",86,1.7,20,0.1
Rukola,25,2.6,3.7,0.7
Cukinia,17,1.2,3.1,0.3
Jajko,145,14,0,10
"Jogurt grecki light",57,10.2,5.2,0
Rodzynki,299,3.1,79.2,0.5
"Cebula (czerwona)",32,1.2,6.1,0.4
"Papryka (surowa)",31,1,6,0.3
Oregano,0,0,0,0
Koperek,43,3.5,7,1.1
"Gruszka (świeży owoc)",58,0.4,15.4,0.1
"Chleb graham",221,8.3,48.7,1.7
Brokuły,34,2.8,4,0.4
"Sałata lodowa",14,0.9,3,0.1
"Kawa parzona bez cukru",1,0.1,0,0
"Śmietana 12% tłuszczu",134,2.8,4.3,12
Mandarynka,53,0.8,13.3,0.3
"Kukurydza (konserwa)",61,2,13.9,0.8
Truskawki,32,0.7,7.7,0.3
"Słonecznik ziarno",584,20.8,20,51.5
"Orzechy włoskie",645,16,18,60.3
"Kawa z mlekiem (2 łyżki mleka 2%)",7,1,3,1
Migdały,575,21.2,21.7,49.4
"Kasza jaglana",378,11,72.9,4.2
"Ksylitol cukier brzozowy",240,0,100,0
"Masło śmietankowe",670,1.1,1.1,73.5
"Bazylia - otarta",251,14,61,4
"Herbata (parzona)",1,0.1,0.3,0
"Mleko 0,5% tłuszczu",38,3.4,5,0.5
Kalafior,25,1.9,5,0.3
"Kawa rozpuszczalna (bez cukru)",2,0.1,0.3,0
"Przecier pomidorowy",24,1.3,5.4,0.2
"Jogurt naturalny",69,4.6,5.8,3
"Masło 83%",753,0,0,83
"Żurawina (suszona)",308,0.1,82.4,1.4
"Tymianek - otarty",270,10,60,0
"Jogurt naturalny 0% tłuszczu",48,5.7,5.2,0.2
"Jogurt naturalny Natur - Zott",67,4.9,4.2,3
"Oliwki zielone",145,1,3.8,15.3
"Papryka chili",40,1.9,8.8,0.4
"Serek wiejski",97,11.8,2.7,5
Por,24,2.2,5.7,0.3
"Ser Gouda",356,25,2.2,27
"Mleko 1,5% tłuszczu",45,3,4.8,1.5
"Chleb żytni",259,8.5,48.3,3.3
"Kasza jaglana (ugotowana)",119,3.5,24,1
Chleb,247,13,41.3,3.4
Miód,324,0.3,79.5,0
"Herbata (parzona) - Lipton",4,0.4,0,0
"Przyprawa kmin rzymski (mielony)",0,0,0,0
"Papryka (proszek)",0,0,0,0
"Ryż brązowy (ugotowany)",112,2.3,23.5,0.8
"Ocet balsamiczny",88,0.5,17,0
Musztarda,111,5.2,10.5,5.4
"Czosnek granulowany",350,14.5,70,1.2
"Serek wiejski lekki - Piątnica",81,11,2.4,3
"Kawa z mlekiem (2 łyżki mleka 3.2%)",9,1,3,1
"Ser Mozzarella light",254,24.3,2.8,15.9
"Łosoś wędzony",153,24.6,0,5.3
"Śliwki suszone",267,3.5,68.9,1.2
"Jajko kurze",139,12.5,0.6,9.7
"Chleb pszenno-żytni",203,4.6,43.7,1.1
"Makrela wędzona",201,25.7,0,10.1
Cytryna,29,1.1,9,0.3
"Koncentrat pomidorowy",92,5.6,16.7,1.5
"Herbata zielona (parzona)",4,0.5,0.5,0
"Twaróg chudy - Mlekopol",86,18.3,3.5,0.2
"Pestki dyni",446,24.5,54,19
"Makaron pełnoziarnisty (ugotowany)",124,5.3,26.5,0.5
"Kefir naturalny 2% tłuszczu",50,3.4,4.7,2
"Ogórek konserwowy",22,0.4,5,0.1
"Pieczarki świeże",22,3.1,3.3,0.3
"Ser Feta",264,14.2,4.1,21.3
"Mleko 3,2% tłuszczu",61,3.2,4.8,3.2
"Kiełki rzodkiewki",42,3.9,3.8,2.3
"Ocet jabłkowy",21,0,0.9,0
"Morele suszone",284,5.4,72.2,1.2
"Bułka kajzerka",293,9.9,52.7,4.3
Roszponka,21,2,4,0.4
"Ryż brązowy (nieugotowany)",354,7.7,72,3.2
Brzoskwinia,39,0.9,9.5,0.3
"Wiórki kokosowe",660,6.9,23.7,64.5
"Cukier brązowy",380,0.1,98.1,0
"Curry (potrawa)",147,4,31,3
"Kawa (rozpuszczona)",2,0.2,0.3,0
"Przyprawa Curry",216,16,0,10
"Zioła prowansalskie",0,0,0,0
Ketchup,97,1.7,25.2,0.3
